N;Ueb;Ukb;Ik;lnIk
1;0.3;0.0015;0.000125;-8.9872
2;0.3113;0.0028;0.000233333;-8.36304
3;0.323;0.0054;0.00045;-7.70626
4;0.3329;0.0093;0.000775;-7.16265
5;0.341;0.0135;0.001125;-6.78997
6;0.3501;0.0201;0.001675;-6.39194
7;0.3636;0.0341;0.00284167;-5.86336
8;0.3717;0.0454;0.00378333;-5.57715
9;0.383;0.0659;0.00549167;-5.20452
10;0.391;0.0801;0.006675;-5.00939
11;0.4027;0.1086;0.00905;-4.70499
12;0.4107;0.1302;0.01085;-4.52359
13;0.4208;0.158;0.0131667;-4.33007
14;0.43;0.1886;0.0157167;-4.15303
15;0.441;0.2201;0.0183417;-3.99858
16;0.4512;0.2443;0.0203583;-3.89426
