№;Uзб, В;Uкб, В;Iк, А;lnIк
1;0,30;0,0026;0,00022;-8,42188
2;0,31;0,0047;0,00039;-7,84936
3;0,32;0,0065;0,00054;-7,52394
4;0,33;0,0107;0,00089;-7,02429
5;0,34;0,0169;0,00141;-6,56417
6;0,35;0,0258;0,00215;-6,14229
7;0,36;0,0428;0,00357;-5,63519
8;0,37;0,0573;0,00478;-5,34331
9;0,38;0,0700;0,00583;-5,14474
10;0,39;0,0968;0,00807;-4,81960
11;0,40;0,1198;0,00998;-4,60717
12;0,41;0,1509;0,01257;-4,37644
13;0,42;0,1860;0,01550;-4,16682
14;0,43;0,2100;0,01750;-4,05986
15;0,44;0,2277;0,01898;-3,96437
16;0,45;0,2545;0,02121;-3,85328
